Date,Open,High,Low,Close,,,,,,
4/04/2007,"6,027.60","6,097.20","6,013.40","6,097.20",,,,,,
3/04/2007,"5,929.90","6,013.40","5,915.80","6,013.40",,,,,,
2/04/2007,"5,994.00","5,995.00","5,915.80","5,915.80",,,,,,
30/03/2007,"5,968.20","5,998.90","5,960.90","5,995.00",,,,,,
29/03/2007,"5,919.30","5,960.90","5,905.30","5,960.90",,,,,,
28/03/2007,"5,958.80","5,979.20","5,917.30","5,923.20",,,,,,
27/03/2007,"5,986.30","5,990.70","5,963.60","5,964.20",,,,,,
26/03/2007,"5,958.80","5,992.00","5,952.30","5,990.70",,,,,,
23/03/2007,"5,954.20","5,968.10","5,938.60","5,952.30",,,,,,
22/03/2007,"5,879.00","5,955.70","5,861.90","5,955.70",,,,,,
21/03/2007,"5,883.00","5,906.70","5,860.30","5,861.90",,,,,,
20/03/2007,"5,871.50","5,922.20","5,859.70","5,876.60",,,,,,
19/03/2007,"5,838.30","5,875.00","5,818.60","5,859.70",,,,,,
16/03/2007,"5,861.90","5,874.50","5,814.60","5,836.30",,,,,,
15/03/2007,"5,769.70","5,857.10","5,741.90","5,853.00",,,,,,
14/03/2007,"5,837.20","5,865.00","5,741.90","5,741.90",,,,,,
13/03/2007,"5,893.30","5,917.70","5,860.90","5,865.00",,,,,,
12/03/2007,"5,828.00","5,891.00","5,820.30","5,891.00",,,,,,
9/03/2007,"5,827.50","5,852.60","5,820.60","5,830.20",,,,,,
8/03/2007,"5,820.20","5,827.00","5,774.60","5,822.30",,,,,,
7/03/2007,"5,777.90","5,830.10","5,771.80","5,825.30",,,,,,
6/03/2007,"5,657.20","5,771.80","5,641.10","5,771.80",,,,,,
5/03/2007,"5,772.00","5,786.00","5,653.60","5,653.60",,,,,,
2/03/2007,"5,804.70","5,825.80","5,780.90","5,786.00",,,,,,
1/03/2007,"5,840.60","5,858.50","5,797.30","5,810.20",,,,,,
28/02/2007,"5,992.60","5,993.80","5,786.80","5,832.50",,,,,,
27/02/2007,"6,043.30","6,044.00","5,993.80","5,993.80",,,,,,
26/02/2007,"6,036.50","6,044.00","6,008.00","6,044.00",,,,,,
23/02/2007,"6,019.60","6,052.10","6,017.10","6,036.10",,,,,,
22/02/2007,"5,953.40","6,017.10","5,951.80","6,017.10",,,,,,
21/02/2007,"5,981.50","5,991.80","5,951.00","5,951.80",,,,,,
20/02/2007,"5,995.20","6,003.30","5,979.90","5,989.70",,,,,,
19/02/2007,"5,956.90","6,003.20","5,950.50","5,990.10",,,,,,
16/02/2007,"5,993.20","5,994.40","5,940.40","5,953.70",,,,,,
15/02/2007,"5,969.60","6,000.00","5,960.50","5,992.80",,,,,,
14/02/2007,"5,947.80","5,975.90","5,936.60","5,960.50",,,,,,
13/02/2007,"5,921.60","5,947.30","5,911.30","5,936.60",,,,,,
12/02/2007,"5,921.60","5,934.70","5,905.40","5,924.10",,,,,,
9/02/2007,"5,905.60","5,927.20","5,894.70","5,927.20",,,,,,
8/02/2007,"5,902.30","5,909.40","5,884.60","5,899.50",,,,,,
7/02/2007,"5,901.90","5,909.90","5,870.50","5,899.80",,,,,,
6/02/2007,"5,828.60","5,871.50","5,822.10","5,870.50",,,,,,
5/02/2007,"5,827.70","5,831.50","5,801.40","5,822.10",,,,,,
2/02/2007,"5,828.50","5,841.30","5,814.10","5,831.50",,,,,,
1/02/2007,"5,781.30","5,816.20","5,773.40","5,814.10",,,,,,
31/01/2007,"5,819.20","5,829.30","5,773.40","5,773.40",,,,,,
30/01/2007,"5,756.50","5,813.00","5,756.10","5,812.50",,,,,,
29/01/2007,"5,772.60","5,777.30","5,752.60","5,760.40",,,,,,
25/01/2007,"5,781.60","5,802.10","5,768.80","5,769.90",,,,,,
24/01/2007,"5,750.00","5,776.10","5,735.00","5,768.80",,,,,,
23/01/2007,"5,723.30","5,738.30","5,702.70","5,735.00",,,,,,
22/01/2007,"5,688.50","5,739.80","5,673.10","5,726.60",,,,,,
19/01/2007,"5,669.40","5,673.10","5,641.50","5,673.10",,,,,,
18/01/2007,"5,655.20","5,679.50","5,646.10","5,672.40",,,,,,
17/01/2007,"5,665.50","5,673.40","5,645.20","5,646.10",,,,,,
16/01/2007,"5,671.90","5,705.40","5,665.30","5,673.40",,,,,,
15/01/2007,"5,642.80","5,673.80","5,633.20","5,673.80",,,,,,
12/01/2007,"5,578.20","5,638.80","5,564.90","5,638.80",,,,,,
11/01/2007,"5,533.10","5,573.40","5,520.90","5,564.90",,,,,,
10/01/2007,"5,583.10","5,589.70","5,520.90","5,520.90",,,,,,
